,Title,Company,Link
34,ASUS AICS SG - Software Development Engineer,ASUS GLOBAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/asus-aics-sg-software-development-engineer-asus-global-9e032e3ce7cb0aa4bdbb52f3ace5817e?source=MCF&event=Search
35,"Frontend Software Engineer (Payment), TikTok Live - Singapore",TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-tiktok-live-singapore-tiktok-5f2bde229816320158485b7fddf530f2?source=MCF&event=Search
36,Frontend Software Engineer (Payment) - TikTok Live - Singapore,TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-tiktok-live-singapore-tiktok-9fc0e40c1a63d141a420154be288f4ad?source=MCF&event=Search
37,Fullstack Engineer,THALES SOLUTIONS ASIA PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-engineer-thales-solutions-asia-994aaa968cdfaa889290c87e90f330ad?source=MCF&event=Search
38,iOS Software Engineer - Social - 2025 Start,TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/ios-software-engineer-social-2025-start-tiktok-167ce161551f9fb2c870a3591a940b66?source=MCF&event=Search
39,"#NEW# Senior Software Engineer (Java, React) - 12 months Contract",AMBITION GROUP SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/new-senior-software-engineer-12-months-contract-ambition-group-singapore-c747c1ce7f901efb45ed12861d498ddf?source=MCF&event=Search
40,Software Engineer (Various locations / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talentsis-83128c814319eabeae7912ef5f7b9ba5?source=MCF&event=Search
41,Software Engineer (East / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-talentsis-4c9a1875c912b609c11e60c634dc93a3?source=MCF&event=Search
42,Senior Systems Engineer (Central / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-systems-engineer-talentsis-3e911d3947a429cbbc21a525f4374776?source=MCF&event=Search
43,Senior IT Systems Engineer (Central / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-systems-engineer-talentsis-3cc5d8da9382478ab1267e6ae79d50a1?source=MCF&event=Search
44,Machine Learning Engineer (Data / Artificial Intelligence),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/machine-learning-engineer-talentsis-1d6734df7b095eef3e3e9d2cd8c3d27f?source=MCF&event=Search
45,Machine Learning Engineer,TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/machine-learning-engineer-talentsis-9048a14f3a02ffc69ca0b4e93b7a6779?source=MCF&event=Search
46,Data Ingestion Engineer (Machine Learning / Artificial Intelligence),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/data-ingestion-engineer-talentsis-ff569a9b1dc3d46b406fb1731f302826?source=MCF&event=Search
47,Software Engineer (Multiple Locations / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talentsis-d5ed0f8d04fc15b33f0ce705f7ea17a3?source=MCF&event=Search
48,Senior Software Engineer,CLPS TECHNOLOGY (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-clps-technology-35079551b1df15cbd0cadcd766ceeeeb?source=MCF&event=Search
49,Software Engineer,DELL GLOBAL B.V. (SINGAPORE BRANCH),https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-dell-global-bv-b056e08b7a5671cba9ae5d75bcace9a4?source=MCF&event=Search
50,Software Engineer C++ / C# - WC01,WECRUIT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/software-engineer-c-c-wc01-wecruit-98ad9b9f6037d7ee6e28ebe24887ccf9?source=MCF&event=Search
51,SOFTWARE DEVELOPER,HK SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-developer-hk-solutions-1f6f3c525306491f67c077637dbec4a4?source=MCF&event=Search
52,"Senior Research Engineer / 3yrs contract (renewable) / $4,500-$11,900",RMA CONSULTANTS PTE LTD,https://www.mycareersfuture.gov.sg/job/design/senior-research-engineer-3yrs-contract-4500-11900-rma-consultants-58720d6688fff8fce4120ddf9e33067c?source=MCF&event=Search
53,IT Analyst Programmer / Software Engineer / - RPG on IBM AS400 / System,RECRUITFLASH PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/analyst-programmer-software-engineer-rpg-ibm-as400-system-recruitflash-0e44be772e3ca8b0f7700513d29fd4b9?source=MCF&event=Search
54,"Software Engineer (Exp Visual C#, Automation, Semicon, UBI)",PEOPLE PROFILERS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-people-profilers-c843d4b32a7ac85b9278ce757e660aff?source=MCF&event=Search
55,DevOps Engineer,CAPGEMINI SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/devops-engineer-capgemini-singapore-2f58ffd22b7c3ecc7958b72368e77c4f?source=MCF&event=Search
56,Full Stack Software Engineer,FLINTEX CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/full-stack-software-engineer-flintex-consulting-6ce1d64189cd3d0c0c27f5597b50badb?source=MCF&event=Search
57,"Associate Director, Engineering Lead - COOL & Process Mining",STANDARD CHARTERED BANK,https://www.mycareersfuture.gov.sg/job/banking-finance/associate-director-engineering-lead-cool-process-mining-standard-chartered-bank-2411829bc0c2a24d85376063f19615fb?source=MCF&event=Search
58,Software Engineer (.NET),GMP TECHNOLOGIES (S) PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-gmp-technologies-5b93343cb668504ac83dfb48488d664a?source=MCF&event=Search
59,"Manager, Data Strategy & Governance (DSAD)",SKILLSFUTURE SINGAPORE AGENCY,https://www.mycareersfuture.gov.sg/job/public/manager-data-strategy-governance-skillsfuture-singapore-agency-3c3fa854f13cfba8facd7af9576dd613?source=MCF&event=Search
60,Wine Data & Pricing Analyst,FICOFI PARTNERS HOLDING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/professional-services/wine-data-pricing-analyst-ficofi-partners-holding-b049ca710bc893f6363ec92a2a51d8ce?source=MCF&event=Search
61,Supply Chain Data Analyst,ACEXCELLENT CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/supply-chain-data-analyst-acexcellent-consulting-4f386c19026748c49288758af79c276f?source=MCF&event=Search
62,Lead Data Engineer,HAYS SPECIALIST RECRUITMENT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/lead-data-engineer-hays-specialist-recruitment-1cec201ac5ff4086b3da8df186a65deb?source=MCF&event=Search
63,DATA ANALYST / UP TO 10K,AEON SEARCH CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/data-analyst-10k-aeon-search-consulting-f7726ff1c792eef3549c6e84634ca7fb?source=MCF&event=Search
64,DATA ANALYST (ENGINEERING) / UP TO $6K / 1 YR CONTRACT,AEON SEARCH CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/data-analyst-6k-1-yr-contract-aeon-search-consulting-d60e1058fe6f141fd8e6d76cb6c2757a?source=MCF&event=Search
65,DATA ANALYST (BUSINESS PLANNING) (RETAIL) / TOWN,AEON SEARCH CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/data-analyst-town-aeon-search-consulting-25f5d79ee7c418fd4ed090b6ae66f12a?source=MCF&event=Search
66,Senior / Lead Data Business Analyst,THOUGHTWORKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-lead-data-business-analyst-thoughtworks-9e2cea2fe5a6a7bd60314ecb5208c893?source=MCF&event=Search
67,"IT Data Engineer (12 months Agency Contract), Code: KAS",EVO OUTSOURCING SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-code-kas-evo-outsourcing-solutions-96b04b9c5dd17227b688ca459302ff6e?source=MCF&event=Search
68,Data Analyst,MEINHARDT SUIT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/building-construction/data-analyst-meinhardt-suit-5291fc1e30bf91f04fa624c7c8c3d05d?source=MCF&event=Search
69,Data Analyst (Senior),RANDSTAD PTE. LIMITED,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-randstad-7cb44df539d9ffa3ba4960dbc11ce800?source=MCF&event=Search
70,Data Analyst (Logistics),GKE EXPRESS LOGISTICS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/logistics/data-analyst-gke-express-logistics-87963aeee6b6074c58360d3bf3e1a94d?source=MCF&event=Search
71,"IT Data Engineer (12 months Agency Contract) , Code : KAS",PERSOLKELLY SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-code-kas-persolkelly-singapore-a2671c03b7da92f8aa1586512a0c0b36?source=MCF&event=Search
72,Data Analyst,U3 INFOTECH PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/data-analyst-u3-infotech-dac77379640899ad2eb5a47c0f7cf17b?source=MCF&event=Search
73,"Senior Executive, Data Analyst",JOBSTUDIO PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-executive-data-analyst-jobstudio-c73be514e786256ae786d6ed83374c7c?source=MCF&event=Search
74,Data Analyst (Permanent),GMP RECRUITMENT SERVICES (S) PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-gmp-recruitment-services-eb955c893c84152bc64687ad3184bdd5?source=MCF&event=Search
75,Data Analyst (Permanent),GMP RECRUITMENT SERVICES (S) PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-gmp-recruitment-services-2a2debce28babe035456ae07cd75f38d?source=MCF&event=Search
76,Data Analyst (Microsoft Fabric),RAPSYS TECHNOLOGIES PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-rapsys-technologies-3cb5345d7e03f030a1038c829718c81d?source=MCF&event=Search
77,Data Analyst [SQL / Data Visualization / Tableau],OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-sql-data-visualization-tableau-optimum-solutions-5375b218d3c07ecb9ba61d0add0d52e6?source=MCF&event=Search
